"","GEOID","name","state","variable","estimate","moe","label","concept","geography","census_geography","acs_type","year"
"11","53035","Kitsap County","Washington","B20017_004",17306,1327,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"12","53035","Kitsap County","Washington","B20017_005",34044,1257,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"13","53035","Kitsap County","Washington","B20017_006",51284,1501,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"14","53035","Kitsap County","Washington","B20017_007",15890,1031,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"15","53053","Pierce County","Washington","B20017_001",43657,488,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"16","53053","Pierce County","Washington","B20017_002",52005,732,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"17","53053","Pierce County","Washington","B20017_003",65183,860,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"18","53053","Pierce County","Washington","B20017_004",17748,1091,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"19","53053","Pierce County","Washington","B20017_005",36692,611,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"20","53053","Pierce County","Washington","B20017_006",51057,912,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"21","53053","Pierce County","Washington","B20017_007",16430,621,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"22","53061","Snohomish County","Washington","B20017_001",50016,753,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"23","53061","Snohomish County","Washington","B20017_002",59966,1367,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"24","53061","Snohomish County","Washington","B20017_003",74304,1296,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"25","53061","Snohomish County","Washington","B20017_004",20746,726,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"26","53061","Snohomish County","Washington","B20017_005",39410,831,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"27","53061","Snohomish County","Washington","B20017_006",55996,1108,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
"28","53061","Snohomish County","Washington","B20017_007",17069,821,"Estimate!!Median earnings in the past 12 months (in 2021 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS IN THE PAST 12 MONTHS",NA,"County","acs5",2021
